20/01/13 14:14
プロジェクトの翻訳状況

            	   分節数	   単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	154678	779904	   8923897	   9269946	  181	
未翻訳：        	143788	760305	   8693110	   9029927	  181	
繰り返しを除いた：   	104994	633300	   7442779	   7751999	  181	
繰り返しを除いた未翻訳：	104903	633098	   7441466	   7750580	  181	


ファイルごとの翻訳状況：

ファイル名                   	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
pcre.html               	   1890	  1684	       1484	          1484	   8567	  8163	       7513	          7513	         86117	        80601	             74387	                74387	         88316	        82602	             76347	                76347	
pegs.html               	   1466	  1428	        970	           970	   7821	  7760	       6552	          6552	         92219	        91540	             78131	                78131	         97181	        96463	             82751	                82751	
posix.html              	  13358	 12162	       9219	          9219	  60224	 57843	      51337	         51337	        693172	       659994	            593313	               593313	        710786	       676423	            609385	               609385	
posix_utils.html        	    160	   146	         85	            85	    886	   866	        579	           579	          9888	         9748	              7126	                 7126	         10183	        10037	              7374	                 7374	
postgres.html           	   1787	  1636	       1112	          1112	   7869	  7575	       6244	          6244	        111323	       107347	             93860	                93860	        113283	       109164	             95652	                95652	
punycode.html           	     81	    68	         27	            27	    437	   419	        180	           180	          4645	         4533	              2324	                 2324	          4734	         4617	              2395	                 2395	
random.html             	    622	   541	        307	           307	   4273	  4137	       3070	          3070	         44091	        42895	             35405	                35405	         46379	        45128	             37230	                37230	
rationals.html          	    497	   459	        290	           290	   2883	  2815	       2181	          2181	         30178	        29366	             23680	                23680	         30971	        30093	             24354	                24354	
rdstdin.html            	     63	    52	         24	            24	    434	   412	        182	           182	          4541	         4436	              2231	                 2231	          4680	         4568	              2346	                 2346	
re.html                 	    853	   811	        455	           455	   5845	  5780	       4395	          4395	         58856	        58148	             45620	                45620	         62631	        61888	             48794	                48794	
registry.html           	     87	    70	         37	            37	    455	   429	        214	           214	          4747	         4523	              2421	                 2421	          4810	         4577	              2473	                 2473	
rlocks.html             	    105	    91	         44	            44	    571	   553	        282	           282	          6174	         6072	              3580	                 3580	          6308	         6202	              3665	                 3665	
ropes.html              	    315	   298	        172	           172	   1667	  1643	       1194	          1194	         20590	        20404	             16323	                16323	         21203	        21004	             16829	                16829	
rst.html                	    214	   190	        144	           144	   1199	  1159	        901	           901	         14425	        14005	             11455	                11455	         14914	        14478	             11918	                11918	
rstast.html             	    190	   168	        123	           123	   1080	  1044	        789	           789	         13891	        13527	             11068	                11068	         14369	        13989	             11526	                11526	
rstgen.html             	    341	   311	        246	           246	   2595	  2546	       2240	          2240	         26525	        25997	             22836	                22836	         28100	        27553	             24386	                24386	
rtarrays.html           	     68	    53	         29	            29	    406	   384	        173	           173	          3956	         3788	              1809	                 1809	          4015	         3840	              1856	                 1856	
segfaults.html          	    343	   303	        191	           191	   1671	  1599	       1217	          1217	         20238	        19370	             15740	                15740	         20615	        19715	             16074	                16074	
selectors.html          	    492	   463	        301	           301	   2957	  2909	       2277	          2277	         31443	        30921	             25242	                25242	         33319	        32774	             26981	                26981	
sequtils.html           	    695	   604	        388	           388	   4961	  4818	       3899	          3899	         61980	        60626	             53676	                53676	         64764	        63358	             56150	                56150	
sets.html               	   1037	   908	        498	           498	   6439	  6230	       4412	          4412	         70266	        68205	             53859	                53859	         73015	        70874	             55768	                55768	
sexp.html               	    632	   604	        415	           415	   3131	  3085	       2389	          2389	         40729	        40235	             33971	                33971	         42470	        41948	             35368	                35368	
sha1.html               	    206	   173	        103	           103	   1047	   987	        634	           634	         12425	        11926	              8775	                 8775	         12752	        12230	              9021	                 9021	
sharedlist.html         	    121	   102	         60	            60	    689	   661	        409	           409	          6923	         6681	              4347	                 4347	          7039	         6788	              4443	                 4443	
sharedtables.html       	    222	   200	        127	           127	   1611	  1577	       1164	          1164	         16021	        15695	             11993	                11993	         16710	        16366	             12584	                12584	
smtp.html               	    326	   308	        160	           160	   1765	  1737	       1108	          1108	         22885	        22633	             16715	                16715	         23522	        23256	             17197	                17197	
sqlite3.html            	   1982	  1787	       1298	          1298	   9821	  9439	       8018	          8018	        120274	       115066	            101533	               101533	        122397	       117002	            103438	               103438	
stats.html              	    452	   433	        290	           290	   2519	  2489	       1992	          1992	         29484	        29204	             24530	                24530	         30583	        30290	             25544	                25544	
streams.html            	   1155	  1019	        625	           625	   7008	  6797	       5508	          5508	        107658	       105407	             91076	                91076	        110908	       108582	             93845	                93845	
strformat.html          	    319	   299	        193	           193	   2124	  2096	       1706	          1706	         19284	        19062	             15176	                15176	         20847	        20611	             16647	                16647	
strmisc.html            	     87	    71	         33	            33	    655	   632	        404	           404	          8736	         8551	              6310	                 6310	          9064	         8872	              6629	                 6629	
strscans.html           	    329	   315	        240	           240	   2027	  2005	       1684	          1684	         26464	        26270	             23391	                23391	         27738	        27536	             24629	                24629	
strtabs.html            	    392	   341	        222	           222	   2143	  2065	       1580	          1580	         28080	        27368	             22394	                22394	         29216	        28473	             23397	                23397	
strutils.html           	   2685	  2408	       1414	          1414	  15156	 14691	      11512	         11512	        195794	       191132	            163338	               163338	        203962	       199110	            170230	               170230	
sugar.html              	    135	   117	         65	            65	    747	   718	        466	           466	          8669	         8382	              6052	                 6052	          8924	         8626	              6292	                 6292	
sums.html               	     57	    46	         23	            23	    429	   413	        212	           212	          3596	         3494	              1573	                 1573	          3713	         3606	              1681	                 1681	
system.html             	   8399	  7895	       5220	          5218	  44184	 43204	      36381	         36379	        513602	       500924	            443436	               443425	        533369	       520177	            460578	               460567	
tables.html             	   2806	  2460	       1338	          1338	  18400	 17817	      12043	         12043	        202650	       197051	            155903	               155903	        210978	       205128	            161036	               161036	
terminal.html           	    780	   730	        487	           487	   3795	  3707	       3011	          3011	         46254	        45184	             37763	                37763	         48594	        47482	             39953	                39953	
termios.html            	   1298	  1150	        944	           944	   5093	  4807	       4239	          4239	         46824	        42970	             37659	                37659	         47401	        43409	             38090	                38090	
theindex.html           	  21242	 21239	      18998	         18998	  63484	 63479	      60022	         60022	        541223	       541201	            503255	               503255	        562162	       562138	            524096	               524096	
threadpool.html         	    283	   257	        155	           155	   1665	  1623	       1236	          1236	         16750	        16332	             12698	                12698	         17394	        16960	             13254	                13254	
threads.html            	    158	   141	        102	           102	   1015	   989	        725	           725	         11325	        11101	              8714	                 8714	         11681	        11448	              9031	                 9031	
time_t.html             	     34	    20	          7	             5	    247	   212	         38	            27	          2207	         1987	               283	                  196	          2231	         1992	               296	                  200	
times.html              	   2707	  2489	       1644	          1644	  14682	 14333	      12280	         12280	        190438	       186129	            163940	               163940	        198638	       194184	            171531	               171531	
tinyc.html              	    317	   303	        204	           204	   1690	  1670	       1292	          1292	         19620	        19480	             15860	                15860	         20136	        19990	             16350	                16350	
tools.html              	     32	    31	         17	            17	    328	   325	        125	           125	          2801	         2789	               896	                  896	          2918	         2904	              1004	                 1004	
tut1.html               	   1083	   952	        734	           699	   9277	  9021	       7830	          7744	         84346	        82652	             70191	                69653	         92507	        90691	             77466	                76880	
tut2.html               	    419	   404	        296	           296	   3332	  3313	       2782	          2782	         36798	        36660	             31006	                31006	         39656	        39514	             33517	                33517	
tut3.html               	    208	   199	        147	           147	   1947	  1935	       1671	          1671	         15453	        15369	             12530	                12530	         17110	        17023	             14146	                14146	
typeinfo.html           	    739	   698	        476	           476	   4052	  3980	       3293	          3293	         47147	        46289	             40092	                40092	         50023	        49080	             42729	                42729	
typetraits.html         	    134	   117	         56	            56	    693	   667	        402	           402	          7752	         7541	              4968	                 4968	          7985	         7765	              5174	                 5174	
unicode.html            	   1032	   917	        515	           515	   5499	  5307	       3992	          3992	         68373	        66435	             53408	                53408	         70931	        68916	             55444	                55444	
unidecode.html          	     65	    53	         29	            29	    532	   515	        317	           317	          4655	         4545	              2611	                 2611	          4884	         4769	              2831	                 2831	
